日付,列 1,旧約1,完了,旧約2,完了 ,詩,完了  ,新約,完了   ,,,曜日,,,,,,,,
3/10(Tue),#VALUE!,民 19-21,FALSE,-,FALSE,-,FALSE,コロ 4,FALSE,,,,,,,,,,,
3/11(Wed),#VALUE!,民 22-25,FALSE,-,FALSE,-,FALSE,ルカ 1,FALSE,,,,,,,,,,,
3/12(Thu),#VALUE!,民 26-29,FALSE,-,FALSE,-,FALSE,ルカ 2,FALSE,,,,,,,,,,,
3/13(Fri),#VALUE!,民 30-33,FALSE,-,FALSE,詩 35,FALSE,ルカ 3,FALSE,,,,,,,,,,,
3/14(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
3/15(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
3/16(Mon),#VALUE!,民 34-36,FALSE,-,FALSE,-,FALSE,ルカ 4,FALSE,,,,,,,,,,,
3/17(Tue),#VALUE!,申 1-3,FALSE,-,FALSE,詩 36,FALSE,ルカ 5,FALSE,,,,,,,,,,,
3/18(Wed),#VALUE!,申 4-5,FALSE,-,FALSE,-,FALSE,ルカ 6,FALSE,,,,,,,,,,,
3/19(Thu),#VALUE!,申 6-9,FALSE,-,FALSE,-,FALSE,ルカ 7,FALSE,,,,,,,,,,,
3/20(Fri),#VALUE!,申 10-14,FALSE,-,FALSE,詩 5,FALSE,ルカ 8,FALSE,,,,,,,,,,,
3/21(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
3/22(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
3/23(Mon),#VALUE!,申 15-18,FALSE,-,FALSE,詩 115,FALSE,ルカ 9,FALSE,,,,,,,,,,,
3/24(Tue),#VALUE!,申 19-22,FALSE,-,FALSE,詩 6,FALSE,ルカ 10,FALSE,,,,,,,,,,,
3/25(Wed),#VALUE!,申 23-26,FALSE,-,FALSE,-,FALSE,ルカ 11,FALSE,,,,,,,,,,,
3/26(Thu),#VALUE!,申 27-31,FALSE,-,FALSE,-,FALSE,ルカ 12,FALSE,,,,,,,,,,,
3/27(Fri),#VALUE!,申 32-34,FALSE,-,FALSE,詩 13,FALSE,ルカ 13,FALSE,,,,,,,,,,,
3/28(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
3/29(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
3/30(Mon),#VALUE!,ヨシ 1-4,FALSE,-,FALSE,詩 143,FALSE,ルカ 14,FALSE,,,,,,,,,,,
3/31(Tue),#VALUE!,ヨシ 5-8,FALSE,-,FALSE,詩 14,FALSE,ルカ 15,FALSE,,,,,,,,,,,
4/1(Wed),#VALUE!,ヨシ 9-13,FALSE,-,FALSE,-,FALSE,ルカ 16,FALSE,,,,,,,,,,,
4/2(Thu),#VALUE!,ヨシ 14-17,FALSE,-,FALSE,-,FALSE,ルカ 17,FALSE,,,,,,,,,,,
4/3(Fri),#VALUE!,ヨシ 18-21,FALSE,-,FALSE,詩 15,FALSE,ルカ 18,FALSE,,,,,,,,,,,
4/4(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
4/5(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
4/6(Mon),#VALUE!,ヨシ 22-24,FALSE,-,FALSE,詩 116,FALSE,ルカ 19,FALSE,,,,,,,,,,,
4/7(Tue),#VALUE!,士 1-3,FALSE,-,FALSE,詩 16,FALSE,ルカ 20,FALSE,,,,,,,,,,,
4/8(Wed),#VALUE!,士 4-6,FALSE,-,FALSE,-,FALSE,ルカ 21,FALSE,,,,,,,,,,,
4/9(Thu),#VALUE!,士 7-8,FALSE,-,FALSE,-,FALSE,ルカ 22,FALSE,,,,,,,,,,,
4/10(Fri),#VALUE!,士 9-11,FALSE,-,FALSE,詩 17,FALSE,ルカ 23,FALSE,,,,,,,,,,,
4/11(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
4/12(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
4/13(Mon),#VALUE!,士 12-16,FALSE,-,FALSE,詩 146,FALSE,ルカ 24,FALSE,,,,,,,,,,,
4/14(Tue),#VALUE!,士 17-18,FALSE,-,FALSE,詩 21,FALSE,使徒 1,FALSE,,,,,,,,,,,
4/15(Wed),#VALUE!,士 19-21,FALSE,-,FALSE,-,FALSE,使徒 2,FALSE,,,,,,,,,,,
4/16(Thu),#VALUE!,ルツ 1-2,FALSE,-,FALSE,-,FALSE,使徒 3,FALSE,,,,,,,,,,,
4/17(Fri),#VALUE!,ルツ 3-4,FALSE,-,FALSE,詩 37,FALSE,使徒 4,FALSE,,,,,,,,,,,
4/18(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
4/19(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
